"","Pokemon","PokedexEntry"
"72","Charizard","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles."
"73","Charizard","If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade."
"74","Charizard","It is said that Charizard’s fire burns hotter if it has experienced harsh battles."
"75","Charizard","When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
"76","Charizard","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
"77","Charizard","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
"78","Charizard","When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tails burns more intensely."
"79","Charizard","This colossal, flame-winged figure of a Charizard was brought about by Gigantamax energy."
"80","Charizard","The flame inside its body burns hotter than 3,600 degrees Fahrenheit. When Charizard roars, that temperature climbs even higher."
"81","Charizard","The overwhelming power that fills its entire body causes it to turn black and create intense blue flames."
"82","Charizard","Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter."
"83","Squirtle","After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
"84","Squirtle","Shoots water at prey while in the water. Withdraws into its shell when in danger."
"85","Squirtle","The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it."
"86","Squirtle","The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."
"87","Squirtle","When it feels threatened, it draws its legs inside its shell and sprays water from its mouth."
"88","Squirtle","SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds."
"89","Squirtle","When it retracts its long neck into its shell, it squirts out water with vigorous force."
"90","Squirtle","After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth."
"91","Squirtle","Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds."
"92","Squirtle","It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
"93","Squirtle","It shelters itself in its shell then strikes back with spouts of water at every opportunity."
"94","Squirtle","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
"95","Squirtle","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
"96","Squirtle","It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity."
"97","Wartortle","Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
"98","Wartortle","When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit."
"99","Wartortle","It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."
"100","Wartortle","It cleverly controls its furry ears and tail to maintain its balance while swimming."
"101","Wartortle","Its long, furry tail is a symbol of longevity, making it quite popular among older people."
"102","Wartortle","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler."
"103","Wartortle","This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity."
"104","Wartortle","It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance."
"105","Wartortle","Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle."
"106","Wartortle","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
"107","Wartortle","It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."
"108","Wartortle","When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit."
"109","Wartortle","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler."
"110","Wartortle","When tapped on its head, this Pokémon will pull it in, but its tail will stick out a little bit."
"111","Wartortle","It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
"112","Blastoise","A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles."
"113","Blastoise","Once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
"114","Blastoise","It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires."
"115","Blastoise","The rocket cannons on its shell fire jets of water capable of punching holes through thick steel."
"116","Blastoise","It firmly plants its feet on the ground before shooting water from the jets on its back."
"117","Blastoise","BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet."
"118","Blastoise","It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
"119","Blastoise","The pressurized water jets on this brutal POKéMON’s shell are used for high-speed tackles."
"120","Blastoise","The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet."
"121","Blastoise","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel."
"122","Blastoise","The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles."
"123","Blastoise","Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet."
"124","Blastoise","The cannon on its back is as powerful as a tank gun. Its tough legs and back enable it to withstand the recoil from firing the cannon."
"125","Caterpie","Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls."
"126","Caterpie","If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
"127","Caterpie","For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
"128","Caterpie","Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage."
"129","Caterpie","It crawls into foliage where it camouflages itself among leaves that are the same color as its body."
"130","Caterpie","CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor."
"131","Caterpie","It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon."
"132","Caterpie","Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae."
"133","Caterpie","It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly."
"134","Caterpie","For protection, it releases a horrible stench from the antennae on its head to drive away enemies."
"135","Caterpie","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor."
"136","Caterpie","When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey."
"137","Caterpie","It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers."
"138","Caterpie","Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day."
"139","Caterpie","Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food."
"140","Caterpie","It releases a stench from its red antennae to repel enemies. It grows by molting repeatedly."
"141","Metapod","This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
"142","Metapod","Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell."
"143","Metapod","Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell."
"144","Metapod","It prepares for evolution by hardening its shell as much as possible to protect its soft body."
"145","Metapod","This is its pre-evolved form. At this stage, it can only harden, so it remains motionless to avoid attack."
"146","Metapod","The shell covering this POKéMON’s body is as hard as an iron slab. METAPOD does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell."
"147","Metapod","Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."
"148","Metapod","Its shell is as hard as an iron slab. A METAPOD does not move very much because it is preparing its soft innards for evolution inside the shell."
"149","Metapod","A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution."
"150","Metapod","This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
"151","Metapod","The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell."
"152","Metapod","Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out."
"153","Metapod","Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided."
"154","Metapod","Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution."
"155","Metapod","Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides."
"156","Metapod","It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
"157","Metapod","A steel-hard shell protects its tender body. The Pokémon quietly endures hardships while awaiting evolution."
"158","Butterfree","In battle, it flaps its wings at high speed to release highly toxic dust into the air."
"159","Butterfree","Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain."
"160","Butterfree","It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest."
"161","Butterfree","Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains."
"162","Butterfree","It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom."
"163","Butterfree","BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
"164","Butterfree","The wings are protected by rain-repellent dust. As a result, this POKéMON can fly about even in rain."
"165","Butterfree","In battle, it flaps its wings at great speed to release highly toxic dust into the air."
"166","Butterfree","It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away."
"167","Butterfree","It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen."
"168","Butterfree","The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain."
"169","Butterfree","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
"170","Butterfree","Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes."
"171","Butterfree","When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings."
"172","Butterfree","Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off."
"173","Butterfree","Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory."
"174","Butterfree","Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain."
"175","Butterfree","It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen."
"176","Butterfree","Crystallized Gigantamax energy makes up this Pokémon’s blindingly bright and highly toxic scales."
"177","Butterfree","Once it has opponents trapped in a tornado that could blow away a 10-ton truck, it finishes them off with its poisonous scales."
"178","Weedle","Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
"179","Weedle","Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves."
"180","Weedle","Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies."
"181","Weedle","It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats."
"182","Weedle","The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself."
"183","Weedle","WEEDLE has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose)."
"184","Weedle","Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
"185","Weedle","Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison."
"186","Weedle","A WEEDLE has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose)."
"187","Weedle","It eats its weight in leaves every day. It fends off attackers with the needle on its head."
"188","Weedle","Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose)."
"189","Kakuna","Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
"190","Kakuna","Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
"191","Kakuna","Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked."
"192","Kakuna","From this form, it will grow into an adult. As its body becomes softer, the external shell hardens."
"193","Kakuna","Nearly incapable of movement, it leans against stout trees while waiting for its evolution."
"194","Kakuna","KAKUNA remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
"195","Kakuna","This POKéMON is in a temporary stage while making its body. It is almost completely unable to move on its own."
"196","Kakuna","Almost incapable of moving, this POKéMON can only harden its shell to protect itself when it is in danger."
"197","Kakuna","It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes."
"198","Kakuna","While awaiting evolution, it hides from predators under leaves and in nooks of branches."
"199","Kakuna","Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger."
"200","Kakuna","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
"201","Beedrill","Flies at high speed and attacks using its large venomous stingers on its forelegs and tail."
"202","Beedrill","It has 3 poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly."
"203","Beedrill","It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms."
"204","Beedrill","It has three poison barbs. The barb on its tail secretes the most powerful poison."
"205","Beedrill","It uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food."
"206","Beedrill","BEEDRILL is extremely territorial. No one should ever approach its nest - this is for their own safety. If angered, they will attack in a furious swarm."
"207","Beedrill","May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear."
"208","Beedrill","It flies at high speed and attacks using the large venomous stingers on its forelegs and tail."
"209","Beedrill","A BEEDRILL is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm."
"210","Beedrill","Its best attack involves flying around at high speed, striking with poison needles, then flying off."
"211","Beedrill","It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly."
"212","Beedrill","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm."
"213","Beedrill","Its legs have become poison stingers. It stabs its prey repeatedly with the stingers on its limbs, dealing the final blow with the stinger on its rear."
"214","Pidgey","A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand."
"215","Pidgey","Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
"216","Pidgey","It usually hides in tall grass. Because it dislikes fighting, it protects itself by kicking up sand."
"217","Pidgey","Common in grassy areas and forests, it is very docile and will chase off enemies by flapping up sand."
"218","Pidgey","It rapidly flaps its wings in the grass, stirring up a dust cloud that drives insect prey out into the open."
"219","Pidgey","PIDGEY has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
"220","Pidgey","Does not like to fight. It hides in tall grass and so on, foraging for food such as small bugs."
"221","Pidgey","It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings."
"222","Pidgey","It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
"223","Pidgey","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
"224","Pidgeotto","Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
"225","Pidgeotto","This POKéMON is full of vitality. It constantly flies around its large territory in search of prey."
"226","Pidgeotto","It has outstanding vision. However high it flies, it is able to distinguish the movements of its prey."
"227","Pidgeotto","It immobilizes its prey using well-developed claws, then carries the prey more than 60 miles to its nest."
"228","Pidgeotto","It slowly flies in a circular pattern, all the while keeping a sharp lookout for prey."
"229","Pidgeotto","PIDGEOTTO claims a large area as its own territory. This POKéMON flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
"230","Pidgeotto","The claws on its feet are well developed. It can carry prey such as an EXEGGCUTE to its nest over 60 miles away."
"231","Pidgeotto","This POKéMON flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
"232","Pidgeotto","It flies over its wide territory in search of prey, downing it with its highly developed claws."
"233","Pidgeotto","It renders its prey immobile using well-developed claws, then carries the prey more than 60 miles to its nest."
"234","Pidgeotto","The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away."
"235","Pidgeotto","Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder."
"236","Pidgeotto","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
"237","Pidgeotto","This Pokémon is full of vitality. It constantly flies around its large territory in search of prey."
"238","Pidgeot","When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
"239","Pidgeot","This POKéMON flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
"240","Pidgeot","Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps."
"241","Pidgeot","It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed."
"242","Pidgeot","Its outstanding vision allows it to spot splashing MAGIKARP, even while flying at 3300 feet."
"243","Pidgeot","This POKéMON has a dazzling plumage of beautifully glossy feathers. Many TRAINERS are captivated by the striking beauty of the feathers on its head, compelling them to choose PIDGEOT as their POKéMON."
"244","Pidgeot","It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed."
"245","Pidgeot","This POKéMON has gorgeous, glossy feathers. Many TRAINERS are so captivated by the beautiful feathers on its head that they choose PIDGEOT as their POKéMON."
"246","Pidgeot","By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees."
"247","Pidgeot","By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
"248","Pidgeot","When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
"249","Pidgeot","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon."
"250","Pidgeot","This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
"251","Pidgeot","With its muscular strength now greatly increased, it can fly continuously for two weeks without resting."
"252","Rattata","Bites anything when it attacks. Small and very quick, it is a common sight in many places."
"253","Rattata","Will chew on anything with its fangs. If you see one, it is certain that 40 more live in the area."
"254","Rattata","It eats anything. Wherever food is available, it will settle down and produce offspring continuously."
"255","Rattata","Living wherever there is food available, it ceaselessly scavenges for edibles the entire day."
"256","Rattata","This POKéMON’s impressive vitality allows it to live anywhere. It also multiplies very quickly."
"257","Rattata","RATTATA is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives - it will make its nest anywhere."
"258","Rattata","Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down."
"259","Rattata","A RATTATA is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere."
"260","Rattata","Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
"261","Rattata","It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime."
"262","Rattata","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
"263","Rattata","Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."
"264","Rattata","With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly."
"265","Rattata","Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death."
"266","Rattata","This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood."
"267","Rattata","Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
"268","Rattata","It’s cautious in the extreme, and its hardy vitality lets it live in any kind of environment."
"269","Rattata","With its incisors, it gnaws through doors and infiltrates people’s homes. Then, with a twitch of its whiskers, it steals whatever food it finds."
"270","Rattata","When the sun goes down, it becomes active. It runs around town on a chase for good food for the boss of its nest—Raticate."
"271","Rattata","It shows no interest in anything that isn’t fresh. If you take it shopping with you, it will help you pick out ingredients."
"272","Rattata","Night after night, they sneak into people’s homes seeking food. A massive outbreak of them has become an issue of public concern."
"273","Rattata","Its whiskers provide it with a keen sense of smell, enabling it to pick up the scent of hidden food and locate it instantly."
"274","Raticate","It uses its whiskers to maintain its balance. It apparently slows down if they are cut off."
"275","Raticate","Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
"276","Raticate","Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnawing on them."
"277","Raticate","Its whiskers help it to maintain balance. Its fangs never stop growing, so it gnaws to pare them down."
"278","Raticate","The webs on its hind legs enable it to cross rivers. It searches wide areas for food."
"279","Raticate","RATICATE’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses."
"280","Raticate","Its rear feet have three toes each. They are webbed, enabling it to swim across rivers."
"281","Raticate","A RATICATE’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses."
